"id","title","body","leading","slug","type","status","user_id","image_id","parent_id","lat","lng","rate","search_body","published_at","deleted_at","created_at","updated_at"
37,"寝る間を惜しんで、タグ機能を実装しました。","<p>マッチングの計算式はまだまだ改良の余地あるし、フォームもきちんとデザインしてないので使いにくいけど、とりあえず完成。ガシガシ、タギングしてください。</p>",NULL,"e0532261-e512-4691-ba20-a2070fe132ae","archive","published",2,NULL,NULL,NULL,NULL,NULL,NULL,"2007-04-06 20:53:22",NULL,"2007-04-06 20:53:22","2019-05-31 23:51:26"
40,"「死んでると思ったのに」生ゴミを食べて生き延びた4歳長男","<p>みんなー！DQNの世界がここまで来たよ！</p>

<p>http://blog.livedoor.jp/dqnplus/archives/953086.html</p>",NULL,4,"archive","published",2,NULL,NULL,NULL,NULL,NULL,NULL,"2007-04-06 21:03:25",NULL,"2007-04-06 21:03:25","2019-05-31 23:51:26"
43,"YouTube - Alright - Supergrass","<p>白い歯！移動式ベッド！ホンキートンク！ベースの人の顔オモロい！本当にgr8 videoだよ。</p>

<p>http://www.youtube.com/watch?v=o_e4PxtQ-Fw</p>",NULL,"youtube_alright_supergrass","archive","published",2,NULL,NULL,NULL,NULL,NULL,NULL,"2007-04-06 21:05:05",NULL,"2007-04-06 21:05:05","2019-05-31 23:51:26"
45,"「ダラダラ長いからCD売れない」mf247丸山茂雄氏","<p>とほほ…。タラタラ尺を長くするんなら、60sみたいに2?3分で切れってのは分かるんだけど、「じゃーサビだけにすれば着うたで馬鹿売れじゃん？」っていうのは、クリエイターにとっては堕落じゃないのかなあ？Aサビ・Bサビ・メインサビ…とか30秒にまとめて…って歴史は繰り返すって世界。</p>

<p>http://www.itmedia.co.jp/news/articles/0704/06/news089.html</p>",NULL,"cd_mf247","archive","published",2,NULL,NULL,NULL,NULL,NULL,NULL,"2007-04-07 04:24:17",NULL,"2007-04-07 04:24:17","2019-05-31 23:51:26"
46,"YouTube：INN JAPAN@RAW LIFE 2006","<p>ヒューマン!</p>

<p>http://www.youtube.com/watch?v=oOhmKshbiVk</p>",NULL,"youtube_inn_japan_raw_life_2006","archive","published",3,NULL,NULL,NULL,NULL,NULL,NULL,"2007-04-07 14:45:02",NULL,"2007-04-07 14:45:02","2019-05-31 23:51:26"
51,"SWATi","<p>いつか欲しいと思ってる。（意外と乙女趣味です）</p>

<p>http://swati.jp/</p>",NULL,"swati","archive","published",3,NULL,NULL,NULL,NULL,NULL,NULL,"2007-04-07 14:54:19",NULL,"2007-04-07 14:54:19","2019-05-31 23:51:26"
54,"supergrass -  caught by the fuzz","<p>何故この期に及んでスーパーグラスの動画を貼り付けまくっているのか（と言っても二点）。初期の名曲（つーか、ファーストシングルだっけ？）。tagに「strokes」って付いてるのが謎。ストロークスのボーカルは、スーパーグラスのドラマー（パウダーのあばずれキャラと付き合ってた人）と顔が似てる…ぐらいしか思いつかない共通点が。</p>

<p>http://www.youtube.com/watch?v=JPUjraO6L74</p>",NULL,"supergrass_caught_by_the_fuzz","archive","published",2,NULL,NULL,NULL,NULL,NULL,NULL,"2007-04-07 17:33:46",NULL,"2007-04-07 17:33:46","2019-05-31 23:51:26"
55,"YouTube - チャットモンチー - 女子たちに明日はない","<p>これから聴く。タイトル最高（でも狙いすぎでちと不安）。楽しみ。</p>

<p>https://www.youtube.com/watch?v=H28-2_Qg5dA</p>","","youtube-7c4129e6-47a3-416b-a869-d4d259cd4a1b","archive","published",2,NULL,NULL,NULL,NULL,NULL,NULL,"2007-04-07 17:36:29",NULL,"2007-04-07 17:36:29","2019-05-31 23:51:26"
58,"「世界樹の迷宮」の開発者新納一哉氏がイメージエポックに入社","<p>キター！なんでもいいけど、ゲーム業界に居続けてくれる事がたまらなく嬉しいです！</p>

<p>http://hokotate.cocolog-nifty.com/blog/2007/04/post_b8d0.html</p>",NULL,"81968604-f9e4-45e2-af28-b731ddf3f219","archive","published",2,NULL,NULL,NULL,NULL,NULL,NULL,"2007-04-07 17:49:10",NULL,"2007-04-07 17:49:10","2019-05-31 23:51:26"
60,"YouTube - ANA - SHIFT","<p>すごーいYOUTUBEに上がるまでに。
<br />新しいアルバム聞いてないなぁ。</p>

<p>http://www.youtube.com/watch?v=WRRXXmgU1xM</p>",NULL,"youtube_ana_shift","archive","published",3,NULL,NULL,NULL,NULL,NULL,NULL,"2007-04-07 18:11:02",NULL,"2007-04-07 18:11:02","2019-05-31 23:51:26"
63,"YouTube - Royksopp - Remind Me","<p>海外のPVは時に制作時間がカナリじっくりとられていて、むしろ映像がメインなんじゃないかみたいなのがチョイチョイある。</p>

<p>http://www.youtube.com/watch?v=KHEIvF1U4PM</p>",NULL,"youtube_royksopp_remind_me","archive","published",3,NULL,NULL,NULL,NULL,NULL,NULL,"2007-04-07 18:21:12",NULL,"2007-04-07 18:21:12","2019-05-31 23:51:26"
64,"YouTube - ヤマノイズ(INN JAPAN)のロックンロール天気予報","<p>ヤマノイズも！いいなぁ、もう。</p>

<p>http://www.youtube.com/watch?v=xyZiZ3rUqjo&amp;mode=related&amp;search=</p>",NULL,"youtube_inn_japan","archive","published",3,NULL,NULL,NULL,NULL,NULL,NULL,"2007-04-07 18:25:38",NULL,"2007-04-07 18:25:38","2019-05-31 23:51:26"
65,"MySpace.com - hyacca - 福岡県 - Alternative / Rock / Indie","<p>いつの間にか好きなバンドが続々とmyspaceデビュしてる。
<br />更新してくれるかなぁ。</p>

<p>http://www.myspace.com/hyacca</p>",NULL,"myspace_com_hyacca_alternative_rock_indie","archive","published",3,NULL,NULL,NULL,NULL,NULL,NULL,"2007-04-07 18:36:25",NULL,"2007-04-07 18:36:25","2019-05-31 23:51:26"
69,"YouTube - Ikanani Live @ RAWLIFE 2006","<p>あれ？ poccoliってロウライフ出たんだ？知らんかったー。</p>

<p>http://www.youtube.com/watch?v=RxanKq-D-Mk</p>",NULL,"youtube_ikanani_live_rawlife_2006","archive","published",3,NULL,NULL,NULL,NULL,NULL,NULL,"2007-04-07 18:46:50",NULL,"2007-04-07 18:46:50","2019-05-31 23:51:26"
70,"YouTube - ウメ","<p>いやー、ウメは凄いなー。頼むからこのまま人気者になって欲しい。余計な茶々入れる奴が多そうだからなーギョーカイには。</p>

<p>http://www.youtube.com/watch?v=li5H7Ntj7CU</p>",NULL,"youtube-bfdbf187-9fd8-403b-918c-fa6225f2bf67","archive","published",2,NULL,NULL,NULL,NULL,NULL,NULL,"2007-04-08 17:08:17",NULL,"2007-04-08 17:08:17","2019-05-31 23:51:26"
74,"SAW2","<p>観たよ。</p>

<p>amazonでも賛否両論でビックリしたんですが、俺、これは相当出来が良いと思う。投げっぱなしの伏線とか、理不尽な行動とか、確かに気にならないと言えば嘘になりますが、前作ともリンクした真相には前作以上の驚きがあったし、テンションも終始高かったと思う。</p>

<p>序盤から強烈に痛々しくて凹みそうになったんですが、そういうの苦手じゃない人で（かと言って得意でもないような人。俺みたいに）サスペンスが好きな人にはお勧めしたいなあ。</p>

<p>http://www.amazon.co.jp/exec/obidos/ASIN/B000DZI63U/pelepoprecord-22/ref=nosim/</p>","","saw2","archive","published",2,NULL,NULL,NULL,NULL,NULL,NULL,"2007-04-09 17:03:48",NULL,"2007-04-09 17:03:48","2019-05-31 23:51:26"
77,"MetLog：生八橋をレンジで作る","<p>またこんなもんが！もー！作ってみたいです！</p>

<p>http://megalo.jp/metlog/2007/04/081620.html</p>",NULL,"metlog","archive","published",2,NULL,NULL,NULL,NULL,NULL,NULL,"2007-04-10 13:21:59",NULL,"2007-04-10 13:21:59","2019-05-31 23:51:26"
80,"オンラインストレージ「Dropbox」","<p>あっちゃー、これは凄い！Subversionみたいにヴァージョン管理してくれて、通常のフォルダのように使用出来るオンラインストレージ！どっちの方向に進むかわからないけど、非常に楽しみ。HDDの要らない時代は来るかな。</p>

<p>http://www.atmarkit.co.jp/news/200704/09/dropbox.html</p>",NULL,"dropbox","archive","published",2,NULL,NULL,NULL,NULL,NULL,NULL,"2007-04-10 18:22:32",NULL,"2007-04-10 18:22:32","2019-05-31 23:51:26"
83,"すっげえ垢抜けたcraigslist@Austin","<p>bignoobチームの手によって、トップページが洗練されたcraigslist。</p>

<p>ちょっと身震いした。凄いなあ。</p>

<p>http://craigslist.thebignoob.com/</p>",NULL,"craigslist_austin","archive","published",2,NULL,NULL,NULL,NULL,NULL,NULL,"2007-04-11 08:32:06",NULL,"2007-04-11 08:32:06","2019-05-31 23:51:26"
86,"Webby Award","<p>Webbyアワードのノミニーだぜ！後で、じっくり&amp;片っ端から閲覧してみよう。</p>

<p>http://www.webbyawards.com/webbys/current.php</p>",NULL,"webby_award","archive","published",2,NULL,NULL,NULL,NULL,NULL,NULL,"2007-04-11 12:50:26",NULL,"2007-04-11 12:50:26","2019-05-31 23:51:26"
88,"YouTube - R.E.M. - Driver 8 (Live, 1985)","<p>3rd出した辺りの、乗りに乗ったR.E.M.。の中でも特に名曲の「Driver 8」。最近、初期R.E.M.のアルバムを引っ張り出して聴いている。「Welcome To The Occupation」とか、映像残ってないのかなあ？DVDもチェックすべきか？</p>

<p>「休め、8番。目的地にはたどり着けるさ。」</p>

<p>http://www.youtube.com/watch?v=PH4idj6kDVU</p>",NULL,"youtube_r_e_m_driver_8_live_1985","archive","published",2,NULL,NULL,NULL,NULL,NULL,NULL,"2007-04-11 19:23:12",NULL,"2007-04-11 19:23:12","2019-05-31 23:51:26"
90,"Twitterを使った画期的なマーケティングツール『Twittterment』がすごいです（P O P * P O P）","<p>昨日さあ、「あ、これはいいんじゃないか？」というアイディアが夜中にふと浮かび、興奮して実装の準備していたら、「あ、それTwitterじゃん」と、思いついた時と同じ速度で萎えた。</p>

<p>でも、なんか面白い事出来そうだねえ、こういう一言ツール。ちょっと暖め中。</p>

<p>http://www.popxpop.com/archives/2007/04/twittertwittterment.html</p>",NULL,"twitter_twittterment_p_o_p_p_o_p","archive","published",2,NULL,NULL,NULL,NULL,NULL,NULL,"2007-04-12 06:46:16",NULL,"2007-04-12 06:46:16","2019-05-31 23:51:26"
95,"織田信長の時代のバイキンマン：針聞書","<p>今日、里の九州国立博物館でこいつの人形を買ってしまった。つい。
<br />里の友達には人形と仏像ハンカチーフをプレゼント。非常に受けがよかったです。
<br />日本のキャラクター文化のはしりか。</p>

<p>http://www.kyuhaku.com/pr/collection/collection_info01_02.html</p>",NULL,"b36329e4-de86-472c-b388-194221977458","archive","published",3,NULL,NULL,NULL,NULL,NULL,NULL,"2007-04-12 17:08:06",NULL,"2007-04-12 17:08:06","2019-05-31 23:51:26"
96,"「札幌らーめん缶」を食べた！（ネタフル）","<p>蒟蒻ラーメンなるものには非常に興味をそそられるが、残念な事に食欲はあまりそそられない。</p>

<p>http://netafull.net/eat/019598.html</p>",NULL,"b36f0c73-c204-49fe-8d03-30e26889364a","archive","published",2,NULL,NULL,NULL,NULL,NULL,NULL,"2007-04-13 09:56:29",NULL,"2007-04-13 09:56:29","2019-05-31 23:51:26"
98,"OOPS!  ： The Sugarcubes ( シュガーキューブス )","<p>OOPS!が何気にYOUTUBE検索が右バーで。</p>

<p>こーーれーーは楽しい。地味に。
<br />洋楽探索の旅に日本語で気軽に出れる訳だ。</p>

<p>http://oops-music.com/info/view.html?oid=2844</p>","","oops_the_sugarcubes","archive","published",3,NULL,NULL,NULL,NULL,NULL,NULL,"2007-04-13 10:08:24",NULL,"2007-04-13 10:08:24","2019-05-31 23:51:26"
100,"無茶しすぎ。","<p>ちょ…。無茶しすぎて、笑いに転化してしまっている、奇跡の写真集。全て紹介に耐えうるクオリティ。（from Weekly Teinou 蜂 Woman）</p>

<p>http://damncoolpics.blogspot.com/2007/04/lords-of-logistics.html</p>",NULL,"7b4f8c50-0d2c-4dbc-a244-74e0d980b2fc","archive","published",2,NULL,NULL,NULL,NULL,NULL,NULL,"2007-04-15 16:31:22",NULL,"2007-04-15 16:31:22","2019-05-31 23:51:26"
103,"YouTube - R.E.M. - Harbourcoat","<p>同じくR.E.M.のライブ映像。前回のDriver 8と同じテレビ番組での演奏。高校生の頃、この番組のビデオ（ダビング繰り返してびよんびよんになったやつ）をブートで3,000円で買った。心の一本。このマイケル・スタイプのパフォーマンスは、一つの理想形。</p>

<p>Habourcoatは、アルバムヴァージョンよりこっちの方が好きだな。</p>

<p>http://www.youtube.com/watch?v=ofLGxs7c8xM</p>",NULL,"youtube_r_e_m_harbourcoat","archive","published",2,NULL,NULL,NULL,NULL,NULL,NULL,"2007-04-15 17:39:47",NULL,"2007-04-15 17:39:47","2019-05-31 23:51:26"
104,"YouTube - James Iha - Be Strong Now","<p>春になるとihaのアルバムの季節で。アルバム聞くだけでも相当恥ずかしいですが、PVの恥ずかしさといったら…もえです。</p>

<p>http://www.youtube.com/watch?v=H9HGfWfktnE</p>",NULL,"youtube_james_iha_be_strong_now","archive","published",3,NULL,NULL,NULL,NULL,NULL,NULL,"2007-04-16 16:22:07",NULL,"2007-04-16 16:22:07","2019-05-31 23:51:26"
107,"YouTube - the smashing pumpkins - Today","<p>返歌。</p>

<p>このPVを初めて見たとき、イハがモノホンのおなごだと思っていて、本気で萌えた。すっげえ詐欺。</p>

<p>http://www.youtube.com/watch?v=RHUd896Sur0</p>",NULL,"youtube_the_smashing_pumpkins_today","archive","published",2,NULL,NULL,NULL,NULL,NULL,NULL,"2007-04-16 17:05:43",NULL,"2007-04-16 17:05:43","2019-05-31 23:51:26"
108,"Miiでゲームのキャラクターを表現","<p>「ふ〜ん」ってな感じで流す気満々で見ていましたが、チョ…これは凄いよ。もう、これは、顔じゃあ、ない。</p>

<p>（from Engadget Japanese）</p>

<p>http://japanese.engadget.com/2007/04/16/mii-atkafighter/</p>",NULL,"mii","archive","published",2,NULL,NULL,NULL,NULL,NULL,NULL,"2007-04-16 17:30:38",NULL,"2007-04-16 17:30:38","2019-05-31 23:51:26"
112,"Webby Award - Design Observer","<p>Webby Awardノミニーより。なかなかシュッとしたデザインですよね。</p>

<p>http://www.designobserver.com/</p>",NULL,"webby_award_design_observer","archive","published",2,NULL,NULL,NULL,NULL,NULL,NULL,"2007-04-18 04:56:20",NULL,"2007-04-18 04:56:20","2019-05-31 23:51:26"
113,"Webby Award - Girl Solo in Arabia","<p>これも凄く良いセリフ使い。シックだなあ。</p>

<p>http://www.girlsoloinarabia.com/</p>",NULL,"webby_award_girl_solo_in_arabia","archive","published",2,NULL,NULL,NULL,NULL,NULL,NULL,"2007-04-18 04:57:47",NULL,"2007-04-18 04:57:47","2019-05-31 23:51:26"
114,"Webby Award - we make money not art","<p>これまた、なかなかステキなサイト。ピンクとライン使いがクールだ。</p>

<p>http://www.we-make-money-not-art.com/</p>",NULL,"webby_award_we_make_money_not_art","archive","published",2,NULL,NULL,NULL,NULL,NULL,NULL,"2007-04-18 05:00:24",NULL,"2007-04-18 05:00:24","2019-05-31 23:51:26"
115,"PIXELSURGEON | Interviews | Movie | Michel Gondry","<p>ミシェルゴードリーのインタビュー！
<br />観たいなー映画。</p>

<p>http://www.pixelsurgeon.com/interviews/interview.php?id=254</p>",NULL,"pixelsurgeon_interviews_movie_michel_gondry","archive","published",3,NULL,NULL,NULL,NULL,NULL,NULL,"2007-04-18 07:16:28",NULL,"2007-04-18 07:16:28","2019-05-31 23:51:26"
117,"Fecal Face","<p>マガジンのデザインとしては良いかもしれない。
<br />やっぱ写真のクオリティ大事だなぁ。</p>

<p>http://www.fecalface.com/SF/</p>",NULL,"fecal_face","archive","published",3,NULL,NULL,NULL,NULL,NULL,NULL,"2007-04-18 07:20:47",NULL,"2007-04-18 07:20:47","2019-05-31 23:51:26"
119,"アナログシンセのミニチュア","<p>これは何というキュートですか。</p>

<p>音が出るならば即購入ですな。また出来もしない「即購入」を軽々しく使ってしまった。斧。斧死。</p>

<p>http://www.flickr.com/photos/danmcp/sets/72157594294355299/detail/</p>",NULL,"5648d5a3-30a8-44e3-8360-2d437bd9ae1a","archive","published",2,NULL,NULL,NULL,NULL,NULL,NULL,"2007-04-18 07:26:24",NULL,"2007-04-18 07:26:24","2019-05-31 23:51:26"
124,"Krop - Creative & Tech Jobs","<p>私の感が正しければリスティング広告（求人）なんじゃないでしょうか。
<br />かっこいー。シンプルー！！！！
<br />アートデザイン系ポータルに軒並みバナー広告がはってあります。</p>

<p>http://www.krop.com/</p>",NULL,"krop_creative_tech_jobs","archive","published",3,NULL,NULL,NULL,NULL,NULL,NULL,"2007-04-18 07:29:23",NULL,"2007-04-18 07:29:23","2019-05-31 23:51:26"
126,"Ryan McGinness","<p>俺、好きなんですよ、ライアン・マクギネス。</p>

<p>現在に至るベクターアートを最先端で切り開いてきたイメージがあって、今現在所謂「イラレアート」をどうペインティングに落とし込んでいるのか、凄く興味があります。でも、元々ペインティングの人なんだっけ？実物見たいなあ。</p>

<p>http://www.ryanmcginness.com/</p>",NULL,"ryan_mcginness","archive","published",2,NULL,NULL,NULL,NULL,NULL,NULL,"2007-04-18 07:36:53",NULL,"2007-04-18 07:36:53","2019-05-31 23:51:26"
128,"www.fergalkeane.com","<p>このサイト、真ん中の列の画像の使い方がちょっと理想的。美しいレイアウトですね。</p>

<p>http://www.fergalkeane.com/</p>",NULL,"www_fergalkeane_com","archive","published",2,NULL,NULL,NULL,NULL,NULL,NULL,"2007-04-18 07:58:37",NULL,"2007-04-18 07:58:37","2019-05-31 23:51:26"
129,"eat in tokyo","<p>これこれ。これが言ってたやつ。</p>

<p>ランチスポットのブログとgoogle mapsのマッシュアップ。やべえ。</p>

<p>http://eat.standardimage.jp/</p>",NULL,"eat_in_tokyo","archive","published",2,NULL,NULL,NULL,NULL,NULL,NULL,"2007-04-18 08:00:22",NULL,"2007-04-18 08:00:22","2019-05-31 23:51:26"
132,"styleboost","<p>なんだかんだ言って、やっぱりスタイルブーストは定番です。最近、更新頻度低いけど、web2.0化したにも関わらず。</p>

<p>http://styleboost.com/</p>",NULL,"styleboost","archive","published",2,NULL,NULL,NULL,NULL,NULL,NULL,"2007-04-18 11:31:31",NULL,"2007-04-18 11:31:31","2019-05-31 23:51:26"
135,"食虫植物の部屋","<p>植物までグルメだぜ！</p>

<p>http://www.geocities.co.jp/NatureLand-Sky/3888/</p>",NULL,"a0a769ab-2226-453a-9e27-737942a7ec06","archive","published",4,NULL,NULL,NULL,NULL,NULL,NULL,"2007-04-18 11:37:31",NULL,"2007-04-18 11:37:31","2019-05-31 23:51:26"
139,"全力坂","<p>美女が坂を駆け上がります！
<br />ただそれだけなのに見ちゃいます！！</p>

<p>http://www.tv-asahi.co.jp/saka/</p>",NULL,"8fdc92f5-bdd2-408c-b100-0a19f64c49eb","archive","published",4,NULL,NULL,NULL,NULL,NULL,NULL,"2007-04-18 11:39:42",NULL,"2007-04-18 11:39:42","2019-05-31 23:51:26"
141,"YouTube - Pug - Smashing Pumpkins Live","<p>スマパンのライブをひたすら見てたんですが。三人ものすごい冷めた顔してる。
<br />いろんな意味でこれは…番組の作りがこうなのか…。そして何語！ブラジル？
<br />ジミーがいないAdoreの頃だなぁ。</p>

<p>http://www.youtube.com/watch?v=iXLMx5JEELk&amp;mode=related&amp;search=</p>",NULL,"youtube_pug_smashing_pumpkins_live","archive","published",3,NULL,NULL,NULL,NULL,NULL,NULL,"2007-04-18 16:12:50",NULL,"2007-04-18 16:12:50","2019-05-31 23:51:27"
142,"田中知之グルメブログ","<p>DJ/プロデューサーとして国内外で活躍。
<br />5枚のオリジナルアルバムのリリースの他、21世紀の音源を集めた2枚組ベストアルバム『FPMB』がavexより好評発売中。
<br />レギュラーイベントは偶数月第一金曜日に西麻布YELLOWにて「Grand-Tourisme」、偶数月第二土曜日に大阪SAZA*Eにて「HYPER SOCIETY」が開催中。</p>

<p>と前置きはこれくらいにして。。
<br />美味しい店がたくさん紹介されていて見ているだけで幸せ！！</p>

<p>http://blog.honeyee.com/ttanaka/</p>",NULL,"e1a09a71-2617-4d28-8f7c-c3b3e37e5511","archive","published",4,NULL,NULL,NULL,NULL,NULL,NULL,"2007-04-19 03:04:53",NULL,"2007-04-19 03:04:53","2019-05-31 23:51:27"
143,"YouTube - Pavement - Range Life","<p>smashing pumpkinsを好きじゃなかった最大の理由は、俺がpavement信者だから！ということで、その引き金となったこの曲。「スマパンとツアー回ったけど、あいつら何がしてえんだかさっぱりわかんねえクソバンド（意訳）」と、90s Buzz Rockシーンを文字通り震撼させたフレーズはザックリと「配慮」されていますが、同じく馬鹿にされていたstone temple pilotsの件は盛り上がらず、ところで彼ら（STP）、今、何やってるんでしょうかねえ。</p>

<p>http://www.youtube.com/watch?v=dQHstA0cZDw</p><p>https://www.amazon.co.jp/Range-Life-Pavement/dp/B00004WP4S/ref=sr_1_1?ie=UTF8&amp;qid=1487853448&amp;sr=8-1&amp;keywords=pavement+range+life<br></p>","","youtube_pavement_range_life","archive","published",2,NULL,NULL,NULL,NULL,NULL,NULL,"2007-04-19 05:13:28",NULL,"2007-04-19 05:13:28","2019-05-31 23:51:27"
145,"10円寿司って知ってる？","<p>今治の10円寿司って知ってる？
<br />100円寿司なんて目じゃないよね。
<br />親指くらいの寿司が25貫で250円だよ！！
<br />いぐね？</p>

<p>http://imabari.cia-japan.com/?eid=337437</p>","",10,"archive","published",4,NULL,NULL,NULL,NULL,NULL,NULL,"2007-04-19 05:19:17",NULL,"2007-04-19 05:19:17","2019-05-31 23:51:27"
146,"Authentic Boredom","<p>Jeffrey Zeldmanも絶賛している、ツワモノweb designer。</p>

<p>このポートフォリオサイトは、（勿論素晴らしい完成度だが）若干古くなっている感も否めないが、ブログで報告されている最新の仕事はどれもこれも驚愕の出来。<a href=""http://www.kleber.net/"" target=""_blank"">kleber</a>とかとは別ベクトル、List Apart、stopdesign辺りの匠。</p>

<p>http://www.cameronmoll.com/</p>",NULL,"authentic_boredom","archive","published",2,NULL,NULL,NULL,NULL,NULL,NULL,"2007-04-19 06:30:32",NULL,"2007-04-19 06:30:32","2019-05-31 23:51:27"
148,"kleber","<p>で、勿論、こっちも押さえておこう。<a href=""http://www.thedesignersrepublic.com/"" target=""_blank"">designers republic</a>のサイトも彼らだっけ？</p>

<p>http://www.kleber.net/</p>",NULL,"kleber","archive","published",2,NULL,NULL,NULL,NULL,NULL,NULL,"2007-04-19 06:35:22",NULL,"2007-04-19 06:35:22","2019-05-31 23:51:27"
150,"WARP RECORDS","<p>このサイトには影響を受けたなあ。kleber+designers republic。未だに古びてない。</p>

<p>フォームのレイアウトまで徹底して、右下欠けの矩形を使用しているその執念！</p>

<p>http://www.warprecords.com/</p>",NULL,"warp_records","archive","published",2,NULL,NULL,NULL,NULL,NULL,NULL,"2007-04-19 06:39:15",NULL,"2007-04-19 06:39:15","2019-05-31 23:51:27"
151,"Hellofreaks","<p>やっぱりイラレで無理矢理表現した金属感とか、フォトショのグラデで影を表現したりするのって陳腐になってしまうことが多かったよねー。そんな時代からDTPしている人間共驚愕のフォトショ使いを収集してみたい。</p>

<p>Hellofreaksは染みの使い方が非常に上手いね。</p>

<p>http://www.hellofreaks.com/</p>",NULL,"hellofreaks","archive","published",2,NULL,NULL,NULL,NULL,NULL,NULL,"2007-04-19 07:00:26",NULL,"2007-04-19 07:00:26","2019-05-31 23:51:27"
154,"purevolume","<p>CSS+XHTMLで、よく出来たサイトだけど、ちょっと冷たい印象があるよね。pure volumeは<a href=""https://store.purevolume.com/"" target=""_blank"">ショッピングサイト</a>の方が良い。良い、というか、好き。写真が良いんだろうなあ。</p>

<p>http://www.purevolume.com/</p>",NULL,"purevolume","archive","published",2,NULL,NULL,NULL,NULL,NULL,NULL,"2007-04-19 07:10:07",NULL,"2007-04-19 07:10:07","2019-05-31 23:51:27"
